kjønn,alder,type justering,statistikkvariabel,måned,value
Begge kjønn,15-74 år,Sesongjustert,Arbeidsledige i prosent av arbeidsstyrken,2022M01,3.1
Begge kjønn,15-74 år,Sesongjustert,Arbeidsledige i prosent av arbeidsstyrken,2022M02,3.5
Begge kjønn,15-74 år,Sesongjustert,Arbeidsledige i prosent av arbeidsstyrken,2022M03,3.1
Begge kjønn,15-74 år,Sesongjustert,Arbeidsledige i prosent av arbeidsstyrken,2022M04,2.6
Begge kjønn,15-74 år,Sesongjustert,Arbeidsledige i prosent av arbeidsstyrken,2022M05,3.8
Begge kjønn,15-74 år,Sesongjustert,Arbeidsledige i prosent av arbeidsstyrken,2022M06,3.1
Begge kjønn,15-74 år,Sesongjustert,Arbeidsledige i prosent av arbeidsstyrken,2022M07,2.8
Begge kjønn,15-74 år,Sesongjustert,Arbeidsledige i prosent av arbeidsstyrken,2022M08,3.5
Begge kjønn,15-74 år,Sesongjustert,Arbeidsledige i prosent av arbeidsstyrken,2022M09,3.4
Begge kjønn,15-74 år,Sesongjustert,Arbeidsledige i prosent av arbeidsstyrken,2022M10,3.1
Begge kjønn,15-74 år,Sesongjustert,Arbeidsledige i prosent av arbeidsstyrken,2022M11,3.2
Begge kjønn,15-74 år,Sesongjustert,Arbeidsledige i prosent av arbeidsstyrken,2022M12,3.5
Begge kjønn,15-74 år,Sesongjustert,Arbeidsledige i prosent av arbeidsstyrken,2023M01,3.4
Begge kjønn,15-74 år,Sesongjustert,Arbeidsledige i prosent av arbeidsstyrken,2023M02,3.9
Begge kjønn,15-74 år,Sesongjustert,Arbeidsledige i prosent av arbeidsstyrken,2023M03,3.7
Begge kjønn,15-74 år,Sesongjustert,Arbeidsledige i prosent av arbeidsstyrken,2023M04,3.5
Begge kjønn,15-74 år,Sesongjustert,Arbeidsledige i prosent av arbeidsstyrken,2023M05,3.2
Begge kjønn,15-74 år,Sesongjustert,Arbeidsledige i prosent av arbeidsstyrken,2023M06,3.5
Begge kjønn,15-74 år,Sesongjustert,Arbeidsledige i prosent av arbeidsstyrken,2023M07,3.7
Begge kjønn,15-74 år,Sesongjustert,Arbeidsledige i prosent av arbeidsstyrken,2023M08,3.6
Begge kjønn,15-74 år,Sesongjustert,Arbeidsledige i prosent av arbeidsstyrken,2023M09,3.5
Begge kjønn,15-74 år,Sesongjustert,Arbeidsledige i prosent av arbeidsstyrken,2023M10,3.7
Begge kjønn,15-74 år,Sesongjustert,Arbeidsledige i prosent av arbeidsstyrken,2023M11,3.8
Begge kjønn,15-74 år,Sesongjustert,Arbeidsledige i prosent av arbeidsstyrken,2023M12,3.6
Begge kjønn,15-74 år,Sesongjustert,Arbeidsledige i prosent av arbeidsstyrken,2024M01,4.3
Begge kjønn,15-74 år,Sesongjustert,Arbeidsledige i prosent av arbeidsstyrken,2024M02,3.5
Begge kjønn,15-74 år,Sesongjustert,Arbeidsledige i prosent av arbeidsstyrken,2024M03,4
Begge kjønn,15-74 år,Sesongjustert,Arbeidsledige i prosent av arbeidsstyrken,2024M04,4.3
Begge kjønn,15-74 år,Sesongjustert,Arbeidsledige i prosent av arbeidsstyrken,2024M05,4.1
Begge kjønn,15-74 år,Sesongjustert,Arbeidsledige i prosent av arbeidsstyrken,2024M06,4.1
Begge kjønn,15-74 år,Sesongjustert,Arbeidsledige i prosent av arbeidsstyrken,2024M07,3.8
Begge kjønn,15-74 år,Sesongjustert,Arbeidsledige i prosent av arbeidsstyrken,2024M08,4
Begge kjønn,15-74 år,Sesongjustert,Arbeidsledige i prosent av arbeidsstyrken,2024M09,4
Begge kjønn,15-74 år,Sesongjustert,Arbeidsledige i prosent av arbeidsstyrken,2024M10,4
Begge kjønn,15-74 år,Sesongjustert,Arbeidsledige i prosent av arbeidsstyrken,2024M11,3.7
Begge kjønn,15-74 år,Ikke sesongjustert,Arbeidsstyrken i prosent av befolkningen,2006M01,NA
Begge kjønn,15-74 år,Ikke sesongjustert,Arbeidsstyrken i prosent av befolkningen,2006M02,NA
Begge kjønn,15-74 år,Ikke sesongjustert,Arbeidsstyrken i prosent av befolkningen,2006M03,NA
Begge kjønn,15-74 år,Ikke sesongjustert,Arbeidsstyrken i prosent av befolkningen,2006M04,NA
Begge kjønn,15-74 år,Ikke sesongjustert,Arbeidsstyrken i prosent av befolkningen,2006M05,NA
Begge kjønn,15-74 år,Ikke sesongjustert,Arbeidsstyrken i prosent av befolkningen,2006M06,NA
Begge kjønn,15-74 år,Ikke sesongjustert,Arbeidsstyrken i prosent av befolkningen,2006M07,NA
Begge kjønn,15-74 år,Ikke sesongjustert,Arbeidsstyrken i prosent av befolkningen,2006M08,NA
Begge kjønn,15-74 år,Ikke sesongjustert,Arbeidsstyrken i prosent av befolkningen,2006M09,NA
Begge kjønn,15-74 år,Ikke sesongjustert,Arbeidsstyrken i prosent av befolkningen,2006M10,NA
Begge kjønn,15-74 år,Ikke sesongjustert,Arbeidsstyrken i prosent av befolkningen,2006M11,NA
Begge kjønn,15-74 år,Ikke sesongjustert,Arbeidsstyrken i prosent av befolkningen,2006M12,NA
Begge kjønn,15-74 år,Ikke sesongjustert,Arbeidsstyrken i prosent av befolkningen,2007M01,NA
Begge kjønn,15-74 år,Ikke sesongjustert,Arbeidsstyrken i prosent av befolkningen,2007M02,NA
Begge kjønn,15-74 år,Ikke sesongjustert,Arbeidsstyrken i prosent av befolkningen,2007M03,NA
Begge kjønn,15-74 år,Ikke sesongjustert,Arbeidsstyrken i prosent av befolkningen,2007M04,NA
Begge kjønn,15-74 år,Ikke sesongjustert,Arbeidsstyrken i prosent av befolkningen,2007M05,NA
Begge kjønn,15-74 år,Ikke sesongjustert,Arbeidsstyrken i prosent av befolkningen,2007M06,NA
Begge kjønn,15-74 år,Ikke sesongjustert,Arbeidsstyrken i prosent av befolkningen,2007M07,NA
Begge kjønn,15-74 år,Ikke sesongjustert,Arbeidsstyrken i prosent av befolkningen,2007M08,NA
Begge kjønn,15-74 år,Ikke sesongjustert,Arbeidsstyrken i prosent av befolkningen,2007M09,NA
Begge kjønn,15-74 år,Ikke sesongjustert,Arbeidsstyrken i prosent av befolkningen,2007M10,NA
Begge kjønn,15-74 år,Ikke sesongjustert,Arbeidsstyrken i prosent av befolkningen,2007M11,NA
Begge kjønn,15-74 år,Ikke sesongjustert,Arbeidsstyrken i prosent av befolkningen,2007M12,NA
Begge kjønn,15-74 år,Ikke sesongjustert,Arbeidsstyrken i prosent av befolkningen,2008M01,NA
Begge kjønn,15-74 år,Ikke sesongjustert,Arbeidsstyrken i prosent av befolkningen,2008M02,NA
Begge kjønn,15-74 år,Ikke sesongjustert,Arbeidsstyrken i prosent av befolkningen,2008M03,NA
Begge kjønn,15-74 år,Ikke sesongjustert,Arbeidsstyrken i prosent av befolkningen,2008M04,NA
Begge kjønn,15-74 år,Ikke sesongjustert,Arbeidsstyrken i prosent av befolkningen,2008M05,NA
Begge kjønn,15-74 år,Ikke sesongjustert,Arbeidsstyrken i prosent av befolkningen,2008M06,NA
Begge kjønn,15-74 år,Ikke sesongjustert,Arbeidsstyrken i prosent av befolkningen,2008M07,NA
Begge kjønn,15-74 år,Ikke sesongjustert,Arbeidsstyrken i prosent av befolkningen,2008M08,NA
Begge kjønn,15-74 år,Ikke sesongjustert,Arbeidsstyrken i prosent av befolkningen,2008M09,NA
Begge kjønn,15-74 år,Ikke sesongjustert,Arbeidsstyrken i prosent av befolkningen,2008M10,NA
Begge kjønn,15-74 år,Ikke sesongjustert,Arbeidsstyrken i prosent av befolkningen,2008M11,NA
Begge kjønn,15-74 år,Ikke sesongjustert,Arbeidsstyrken i prosent av befolkningen,2008M12,NA
Begge kjønn,15-74 år,Ikke sesongjustert,Arbeidsstyrken i prosent av befolkningen,2009M01,73.3
Begge kjønn,15-74 år,Ikke sesongjustert,Arbeidsstyrken i prosent av befolkningen,2009M02,73.8
Begge kjønn,15-74 år,Ikke sesongjustert,Arbeidsstyrken i prosent av befolkningen,2009M03,74.1
Begge kjønn,15-74 år,Ikke sesongjustert,Arbeidsstyrken i prosent av befolkningen,2009M04,73.6
Begge kjønn,15-74 år,Ikke sesongjustert,Arbeidsstyrken i prosent av befolkningen,2009M05,74.3
Begge kjønn,15-74 år,Ikke sesongjustert,Arbeidsstyrken i prosent av befolkningen,2009M06,74.8
Begge kjønn,15-74 år,Ikke sesongjustert,Arbeidsstyrken i prosent av befolkningen,2009M07,74
Begge kjønn,15-74 år,Ikke sesongjustert,Arbeidsstyrken i prosent av befolkningen,2009M08,73.2
Begge kjønn,15-74 år,Ikke sesongjustert,Arbeidsstyrken i prosent av befolkningen,2009M09,72.2
Begge kjønn,15-74 år,Ikke sesongjustert,Arbeidsstyrken i prosent av befolkningen,2009M10,72.8
Begge kjønn,15-74 år,Ikke sesongjustert,Arbeidsstyrken i prosent av befolkningen,2009M11,72.8
Begge kjønn,15-74 år,Ikke sesongjustert,Arbeidsstyrken i prosent av befolkningen,2009M12,71.5
Begge kjønn,15-74 år,Ikke sesongjustert,Arbeidsstyrken i prosent av befolkningen,2010M01,72.5
Begge kjønn,15-74 år,Ikke sesongjustert,Arbeidsstyrken i prosent av befolkningen,2010M02,72.8
Begge kjønn,15-74 år,Ikke sesongjustert,Arbeidsstyrken i prosent av befolkningen,2010M03,72.3
Begge kjønn,15-74 år,Ikke sesongjustert,Arbeidsstyrken i prosent av befolkningen,2010M04,72.1
Begge kjønn,15-74 år,Ikke sesongjustert,Arbeidsstyrken i prosent av befolkningen,2010M05,73.1
Begge kjønn,15-74 år,Ikke sesongjustert,Arbeidsstyrken i prosent av befolkningen,2010M06,74.3
Begge kjønn,15-74 år,Ikke sesongjustert,Arbeidsstyrken i prosent av befolkningen,2010M07,73.5
Begge kjønn,15-74 år,Ikke sesongjustert,Arbeidsstyrken i prosent av befolkningen,2010M08,72.2
Begge kjønn,15-74 år,Ikke sesongjustert,Arbeidsstyrken i prosent av befolkningen,2010M09,72.3
Begge kjønn,15-74 år,Ikke sesongjustert,Arbeidsstyrken i prosent av befolkningen,2010M10,72.3
Begge kjønn,15-74 år,Ikke sesongjustert,Arbeidsstyrken i prosent av befolkningen,2010M11,72.3
Begge kjønn,15-74 år,Ikke sesongjustert,Arbeidsstyrken i prosent av befolkningen,2010M12,71.9
Begge kjønn,15-74 år,Ikke sesongjustert,Arbeidsstyrken i prosent av befolkningen,2011M01,71.3
Begge kjønn,15-74 år,Ikke sesongjustert,Arbeidsstyrken i prosent av befolkningen,2011M02,71.9
Begge kjønn,15-74 år,Ikke sesongjustert,Arbeidsstyrken i prosent av befolkningen,2011M03,72.2
Begge kjønn,15-74 år,Ikke sesongjustert,Arbeidsstyrken i prosent av befolkningen,2011M04,72.1
Begge kjønn,15-74 år,Ikke sesongjustert,Arbeidsstyrken i prosent av befolkningen,2011M05,73
Begge kjønn,15-74 år,Ikke sesongjustert,Arbeidsstyrken i prosent av befolkningen,2011M06,73.1
Begge kjønn,15-74 år,Ikke sesongjustert,Arbeidsstyrken i prosent av befolkningen,2011M07,73.2
Begge kjønn,15-74 år,Ikke sesongjustert,Arbeidsstyrken i prosent av befolkningen,2011M08,72.5
Begge kjønn,15-74 år,Ikke sesongjustert,Arbeidsstyrken i prosent av befolkningen,2011M09,72.5
Begge kjønn,15-74 år,Ikke sesongjustert,Arbeidsstyrken i prosent av befolkningen,2011M10,72.2
Begge kjønn,15-74 år,Ikke sesongjustert,Arbeidsstyrken i prosent av befolkningen,2011M11,72.1
Begge kjønn,15-74 år,Ikke sesongjustert,Arbeidsstyrken i prosent av befolkningen,2011M12,72.3
Begge kjønn,15-74 år,Ikke sesongjustert,Arbeidsstyrken i prosent av befolkningen,2012M01,71.9
Begge kjønn,15-74 år,Ikke sesongjustert,Arbeidsstyrken i prosent av befolkningen,2012M02,72.1
Begge kjønn,15-74 år,Ikke sesongjustert,Arbeidsstyrken i prosent av befolkningen,2012M03,72.2
Begge kjønn,15-74 år,Ikke sesongjustert,Arbeidsstyrken i prosent av befolkningen,2012M04,72
Begge kjønn,15-74 år,Ikke sesongjustert,Arbeidsstyrken i prosent av befolkningen,2012M05,73
Begge kjønn,15-74 år,Ikke sesongjustert,Arbeidsstyrken i prosent av befolkningen,2012M06,73
Begge kjønn,15-74 år,Ikke sesongjustert,Arbeidsstyrken i prosent av befolkningen,2012M07,72.4
Begge kjønn,15-74 år,Ikke sesongjustert,Arbeidsstyrken i prosent av befolkningen,2012M08,72.2
Begge kjønn,15-74 år,Ikke sesongjustert,Arbeidsstyrken i prosent av befolkningen,2012M09,72.3
Begge kjønn,15-74 år,Ikke sesongjustert,Arbeidsstyrken i prosent av befolkningen,2012M10,72.2
Begge kjønn,15-74 år,Ikke sesongjustert,Arbeidsstyrken i prosent av befolkningen,2012M11,71.9
Begge kjønn,15-74 år,Ikke sesongjustert,Arbeidsstyrken i prosent av befolkningen,2012M12,71.8
Begge kjønn,15-74 år,Ikke sesongjustert,Arbeidsstyrken i prosent av befolkningen,2013M01,71.4
Begge kjønn,15-74 år,Ikke sesongjustert,Arbeidsstyrken i prosent av befolkningen,2013M02,71.7
Begge kjønn,15-74 år,Ikke sesongjustert,Arbeidsstyrken i prosent av befolkningen,2013M03,72.3
Begge kjønn,15-74 år,Ikke sesongjustert,Arbeidsstyrken i prosent av befolkningen,2013M04,71.9
Begge kjønn,15-74 år,Ikke sesongjustert,Arbeidsstyrken i prosent av befolkningen,2013M05,71.9
Begge kjønn,15-74 år,Ikke sesongjustert,Arbeidsstyrken i prosent av befolkningen,2013M06,73
Begge kjønn,15-74 år,Ikke sesongjustert,Arbeidsstyrken i prosent av befolkningen,2013M07,73.2
Begge kjønn,15-74 år,Ikke sesongjustert,Arbeidsstyrken i prosent av befolkningen,2013M08,72.4
Begge kjønn,15-74 år,Ikke sesongjustert,Arbeidsstyrken i prosent av befolkningen,2013M09,71.9
Begge kjønn,15-74 år,Ikke sesongjustert,Arbeidsstyrken i prosent av befolkningen,2013M10,71.8
Begge kjønn,15-74 år,Ikke sesongjustert,Arbeidsstyrken i prosent av befolkningen,2013M11,72.3
Begge kjønn,15-74 år,Ikke sesongjustert,Arbeidsstyrken i prosent av befolkningen,2013M12,71.5
Begge kjønn,15-74 år,Ikke sesongjustert,Arbeidsstyrken i prosent av befolkningen,2014M01,71.2
Begge kjønn,15-74 år,Ikke sesongjustert,Arbeidsstyrken i prosent av befolkningen,2014M02,71.2
Begge kjønn,15-74 år,Ikke sesongjustert,Arbeidsstyrken i prosent av befolkningen,2014M03,71.4
Begge kjønn,15-74 år,Ikke sesongjustert,Arbeidsstyrken i prosent av befolkningen,2014M04,72
Begge kjønn,15-74 år,Ikke sesongjustert,Arbeidsstyrken i prosent av befolkningen,2014M05,71.7
Begge kjønn,15-74 år,Ikke sesongjustert,Arbeidsstyrken i prosent av befolkningen,2014M06,72.5
Begge kjønn,15-74 år,Ikke sesongjustert,Arbeidsstyrken i prosent av befolkningen,2014M07,72.3
Begge kjønn,15-74 år,Ikke sesongjustert,Arbeidsstyrken i prosent av befolkningen,2014M08,72.1
Begge kjønn,15-74 år,Ikke sesongjustert,Arbeidsstyrken i prosent av befolkningen,2014M09,71.3
Begge kjønn,15-74 år,Ikke sesongjustert,Arbeidsstyrken i prosent av befolkningen,2014M10,71.1
Begge kjønn,15-74 år,Ikke sesongjustert,Arbeidsstyrken i prosent av befolkningen,2014M11,71.4
Begge kjønn,15-74 år,Ikke sesongjustert,Arbeidsstyrken i prosent av befolkningen,2014M12,71.8
Begge kjønn,15-74 år,Ikke sesongjustert,Arbeidsstyrken i prosent av befolkningen,2015M01,71.6
Begge kjønn,15-74 år,Ikke sesongjustert,Arbeidsstyrken i prosent av befolkningen,2015M02,71.6
Begge kjønn,15-74 år,Ikke sesongjustert,Arbeidsstyrken i prosent av befolkningen,2015M03,71.8
Begge kjønn,15-74 år,Ikke sesongjustert,Arbeidsstyrken i prosent av befolkningen,2015M04,71.6
Begge kjønn,15-74 år,Ikke sesongjustert,Arbeidsstyrken i prosent av befolkningen,2015M05,72.4
Begge kjønn,15-74 år,Ikke sesongjustert,Arbeidsstyrken i prosent av befolkningen,2015M06,73.5
Begge kjønn,15-74 år,Ikke sesongjustert,Arbeidsstyrken i prosent av befolkningen,2015M07,72.1
Begge kjønn,15-74 år,Ikke sesongjustert,Arbeidsstyrken i prosent av befolkningen,2015M08,72
Begge kjønn,15-74 år,Ikke sesongjustert,Arbeidsstyrken i prosent av befolkningen,2015M09,72
Begge kjønn,15-74 år,Ikke sesongjustert,Arbeidsstyrken i prosent av befolkningen,2015M10,71.1
Begge kjønn,15-74 år,Ikke sesongjustert,Arbeidsstyrken i prosent av befolkningen,2015M11,71.5
Begge kjønn,15-74 år,Ikke sesongjustert,Arbeidsstyrken i prosent av befolkningen,2015M12,71.6
Begge kjønn,15-74 år,Ikke sesongjustert,Arbeidsstyrken i prosent av befolkningen,2016M01,71.5
Begge kjønn,15-74 år,Ikke sesongjustert,Arbeidsstyrken i prosent av befolkningen,2016M02,71.9
Begge kjønn,15-74 år,Ikke sesongjustert,Arbeidsstyrken i prosent av befolkningen,2016M03,71
Begge kjønn,15-74 år,Ikke sesongjustert,Arbeidsstyrken i prosent av befolkningen,2016M04,71.1
Begge kjønn,15-74 år,Ikke sesongjustert,Arbeidsstyrken i prosent av befolkningen,2016M05,71.7
Begge kjønn,15-74 år,Ikke sesongjustert,Arbeidsstyrken i prosent av befolkningen,2016M06,72
Begge kjønn,15-74 år,Ikke sesongjustert,Arbeidsstyrken i prosent av befolkningen,2016M07,72.1
Begge kjønn,15-74 år,Ikke sesongjustert,Arbeidsstyrken i prosent av befolkningen,2016M08,72.1
Begge kjønn,15-74 år,Ikke sesongjustert,Arbeidsstyrken i prosent av befolkningen,2016M09,70.7
Begge kjønn,15-74 år,Ikke sesongjustert,Arbeidsstyrken i prosent av befolkningen,2016M10,71.4
Begge kjønn,15-74 år,Ikke sesongjustert,Arbeidsstyrken i prosent av befolkningen,2016M11,70.9
Begge kjønn,15-74 år,Ikke sesongjustert,Arbeidsstyrken i prosent av befolkningen,2016M12,69.2
Begge kjønn,15-74 år,Ikke sesongjustert,Arbeidsstyrken i prosent av befolkningen,2017M01,70.7
Begge kjønn,15-74 år,Ikke sesongjustert,Arbeidsstyrken i prosent av befolkningen,2017M02,69.9
Begge kjønn,15-74 år,Ikke sesongjustert,Arbeidsstyrken i prosent av befolkningen,2017M03,70.1
Begge kjønn,15-74 år,Ikke sesongjustert,Arbeidsstyrken i prosent av befolkningen,2017M04,70.9
Begge kjønn,15-74 år,Ikke sesongjustert,Arbeidsstyrken i prosent av befolkningen,2017M05,70.5
Begge kjønn,15-74 år,Ikke sesongjustert,Arbeidsstyrken i prosent av befolkningen,2017M06,71.7
Begge kjønn,15-74 år,Ikke sesongjustert,Arbeidsstyrken i prosent av befolkningen,2017M07,71
Begge kjønn,15-74 år,Ikke sesongjustert,Arbeidsstyrken i prosent av befolkningen,2017M08,70.9
Begge kjønn,15-74 år,Ikke sesongjustert,Arbeidsstyrken i prosent av befolkningen,2017M09,70.2
Begge kjønn,15-74 år,Ikke sesongjustert,Arbeidsstyrken i prosent av befolkningen,2017M10,70.5
Begge kjønn,15-74 år,Ikke sesongjustert,Arbeidsstyrken i prosent av befolkningen,2017M11,70.6
Begge kjønn,15-74 år,Ikke sesongjustert,Arbeidsstyrken i prosent av befolkningen,2017M12,69.5
Begge kjønn,15-74 år,Ikke sesongjustert,Arbeidsstyrken i prosent av befolkningen,2018M01,70.3
Begge kjønn,15-74 år,Ikke sesongjustert,Arbeidsstyrken i prosent av befolkningen,2018M02,70.6
Begge kjønn,15-74 år,Ikke sesongjustert,Arbeidsstyrken i prosent av befolkningen,2018M03,70.4
Begge kjønn,15-74 år,Ikke sesongjustert,Arbeidsstyrken i prosent av befolkningen,2018M04,70.5
Begge kjønn,15-74 år,Ikke sesongjustert,Arbeidsstyrken i prosent av befolkningen,2018M05,70.8
Begge kjønn,15-74 år,Ikke sesongjustert,Arbeidsstyrken i prosent av befolkningen,2018M06,72.6
Begge kjønn,15-74 år,Ikke sesongjustert,Arbeidsstyrken i prosent av befolkningen,2018M07,72.1
Begge kjønn,15-74 år,Ikke sesongjustert,Arbeidsstyrken i prosent av befolkningen,2018M08,71.5
Begge kjønn,15-74 år,Ikke sesongjustert,Arbeidsstyrken i prosent av befolkningen,2018M09,71.4
Begge kjønn,15-74 år,Ikke sesongjustert,Arbeidsstyrken i prosent av befolkningen,2018M10,71.1
Begge kjønn,15-74 år,Ikke sesongjustert,Arbeidsstyrken i prosent av befolkningen,2018M11,71.4
Begge kjønn,15-74 år,Ikke sesongjustert,Arbeidsstyrken i prosent av befolkningen,2018M12,70.4
Begge kjønn,15-74 år,Ikke sesongjustert,Arbeidsstyrken i prosent av befolkningen,2019M01,70.5
Begge kjønn,15-74 år,Ikke sesongjustert,Arbeidsstyrken i prosent av befolkningen,2019M02,71.1
Begge kjønn,15-74 år,Ikke sesongjustert,Arbeidsstyrken i prosent av befolkningen,2019M03,70.9
Begge kjønn,15-74 år,Ikke sesongjustert,Arbeidsstyrken i prosent av befolkningen,2019M04,70.4
Begge kjønn,15-74 år,Ikke sesongjustert,Arbeidsstyrken i prosent av befolkningen,2019M05,70.8
Begge kjønn,15-74 år,Ikke sesongjustert,Arbeidsstyrken i prosent av befolkningen,2019M06,72.2
Begge kjønn,15-74 år,Ikke sesongjustert,Arbeidsstyrken i prosent av befolkningen,2019M07,72.9
Begge kjønn,15-74 år,Ikke sesongjustert,Arbeidsstyrken i prosent av befolkningen,2019M08,72
Begge kjønn,15-74 år,Ikke sesongjustert,Arbeidsstyrken i prosent av befolkningen,2019M09,71.7
Begge kjønn,15-74 år,Ikke sesongjustert,Arbeidsstyrken i prosent av befolkningen,2019M10,71.6
Begge kjønn,15-74 år,Ikke sesongjustert,Arbeidsstyrken i prosent av befolkningen,2019M11,70.9
Begge kjønn,15-74 år,Ikke sesongjustert,Arbeidsstyrken i prosent av befolkningen,2019M12,71.7
Begge kjønn,15-74 år,Ikke sesongjustert,Arbeidsstyrken i prosent av befolkningen,2020M01,71.2
Begge kjønn,15-74 år,Ikke sesongjustert,Arbeidsstyrken i prosent av befolkningen,2020M02,71
Begge kjønn,15-74 år,Ikke sesongjustert,Arbeidsstyrken i prosent av befolkningen,2020M03,71.2
Begge kjønn,15-74 år,Ikke sesongjustert,Arbeidsstyrken i prosent av befolkningen,2020M04,70
Begge kjønn,15-74 år,Ikke sesongjustert,Arbeidsstyrken i prosent av befolkningen,2020M05,71.3
Begge kjønn,15-74 år,Ikke sesongjustert,Arbeidsstyrken i prosent av befolkningen,2020M06,72.1
Begge kjønn,15-74 år,Ikke sesongjustert,Arbeidsstyrken i prosent av befolkningen,2020M07,72.2
Begge kjønn,15-74 år,Ikke sesongjustert,Arbeidsstyrken i prosent av befolkningen,2020M08,71.6
Begge kjønn,15-74 år,Ikke sesongjustert,Arbeidsstyrken i prosent av befolkningen,2020M09,71.5
Begge kjønn,15-74 år,Ikke sesongjustert,Arbeidsstyrken i prosent av befolkningen,2020M10,72
Begge kjønn,15-74 år,Ikke sesongjustert,Arbeidsstyrken i prosent av befolkningen,2020M11,71.3
Begge kjønn,15-74 år,Ikke sesongjustert,Arbeidsstyrken i prosent av befolkningen,2020M12,71.1
Begge kjønn,15-74 år,Ikke sesongjustert,Arbeidsstyrken i prosent av befolkningen,2021M01,70.4
Begge kjønn,15-74 år,Ikke sesongjustert,Arbeidsstyrken i prosent av befolkningen,2021M02,71.1
Begge kjønn,15-74 år,Ikke sesongjustert,Arbeidsstyrken i prosent av befolkningen,2021M03,70.5
Begge kjønn,15-74 år,Ikke sesongjustert,Arbeidsstyrken i prosent av befolkningen,2021M04,71.4
Begge kjønn,15-74 år,Ikke sesongjustert,Arbeidsstyrken i prosent av befolkningen,2021M05,72.2
Begge kjønn,15-74 år,Ikke sesongjustert,Arbeidsstyrken i prosent av befolkningen,2021M06,74.1
Begge kjønn,15-74 år,Ikke sesongjustert,Arbeidsstyrken i prosent av befolkningen,2021M07,73.4
Begge kjønn,15-74 år,Ikke sesongjustert,Arbeidsstyrken i prosent av befolkningen,2021M08,72.6
Begge kjønn,15-74 år,Ikke sesongjustert,Arbeidsstyrken i prosent av befolkningen,2021M09,72.6
Begge kjønn,15-74 år,Ikke sesongjustert,Arbeidsstyrken i prosent av befolkningen,2021M10,72.4
Begge kjønn,15-74 år,Ikke sesongjustert,Arbeidsstyrken i prosent av befolkningen,2021M11,72.7
Begge kjønn,15-74 år,Ikke sesongjustert,Arbeidsstyrken i prosent av befolkningen,2021M12,71.9
Begge kjønn,15-74 år,Ikke sesongjustert,Arbeidsstyrken i prosent av befolkningen,2022M01,71.7
Begge kjønn,15-74 år,Ikke sesongjustert,Arbeidsstyrken i prosent av befolkningen,2022M02,72.9
Begge kjønn,15-74 år,Ikke sesongjustert,Arbeidsstyrken i prosent av befolkningen,2022M03,72.2
Begge kjønn,15-74 år,Ikke sesongjustert,Arbeidsstyrken i prosent av befolkningen,2022M04,72.5
Begge kjønn,15-74 år,Ikke sesongjustert,Arbeidsstyrken i prosent av befolkningen,2022M05,73.4
Begge kjønn,15-74 år,Ikke sesongjustert,Arbeidsstyrken i prosent av befolkningen,2022M06,73.5
Begge kjønn,15-74 år,Ikke sesongjustert,Arbeidsstyrken i prosent av befolkningen,2022M07,73.6
Begge kjønn,15-74 år,Ikke sesongjustert,Arbeidsstyrken i prosent av befolkningen,2022M08,72.5
Begge kjønn,15-74 år,Ikke sesongjustert,Arbeidsstyrken i prosent av befolkningen,2022M09,72.7
Begge kjønn,15-74 år,Ikke sesongjustert,Arbeidsstyrken i prosent av befolkningen,2022M10,72.2
Begge kjønn,15-74 år,Ikke sesongjustert,Arbeidsstyrken i prosent av befolkningen,2022M11,72
Begge kjønn,15-74 år,Ikke sesongjustert,Arbeidsstyrken i prosent av befolkningen,2022M12,72.2
Begge kjønn,15-74 år,Ikke sesongjustert,Arbeidsstyrken i prosent av befolkningen,2023M01,71.7
Begge kjønn,15-74 år,Ikke sesongjustert,Arbeidsstyrken i prosent av befolkningen,2023M02,71.8
Begge kjønn,15-74 år,Ikke sesongjustert,Arbeidsstyrken i prosent av befolkningen,2023M03,72.5
Begge kjønn,15-74 år,Ikke sesongjustert,Arbeidsstyrken i prosent av befolkningen,2023M04,72.9
Begge kjønn,15-74 år,Ikke sesongjustert,Arbeidsstyrken i prosent av befolkningen,2023M05,72.5
Begge kjønn,15-74 år,Ikke sesongjustert,Arbeidsstyrken i prosent av befolkningen,2023M06,73.9
Begge kjønn,15-74 år,Ikke sesongjustert,Arbeidsstyrken i prosent av befolkningen,2023M07,73.7
Begge kjønn,15-74 år,Ikke sesongjustert,Arbeidsstyrken i prosent av befolkningen,2023M08,73.4
Begge kjønn,15-74 år,Ikke sesongjustert,Arbeidsstyrken i prosent av befolkningen,2023M09,72.9
Begge kjønn,15-74 år,Ikke sesongjustert,Arbeidsstyrken i prosent av befolkningen,2023M10,72.4
Begge kjønn,15-74 år,Ikke sesongjustert,Arbeidsstyrken i prosent av befolkningen,2023M11,72.9
Begge kjønn,15-74 år,Ikke sesongjustert,Arbeidsstyrken i prosent av befolkningen,2023M12,71.9
Begge kjønn,15-74 år,Ikke sesongjustert,Arbeidsstyrken i prosent av befolkningen,2024M01,72.4
Begge kjønn,15-74 år,Ikke sesongjustert,Arbeidsstyrken i prosent av befolkningen,2024M02,71.9
Begge kjønn,15-74 år,Ikke sesongjustert,Arbeidsstyrken i prosent av befolkningen,2024M03,72
Begge kjønn,15-74 år,Ikke sesongjustert,Arbeidsstyrken i prosent av befolkningen,2024M04,73
Begge kjønn,15-74 år,Ikke sesongjustert,Arbeidsstyrken i prosent av befolkningen,2024M05,72.6
